execution_date,symbol,name,buy_reference_price,shares,gross_amount,buy_commission_estimate,buy_tax_estimate,total_buy_cost,future_sell_tax_estimate,status
2026-06-18,2412,中華電,143.0000,654,93522.00,133.00,0.00,93655.00,281.00,simulated_position
2026-06-18,2881,富邦金,114.0000,189,21546.00,31.10,0.00,21577.10,64.59,simulated_position
2026-06-18,00713,元大台灣高息低波,59.7500,406,24258.50,35.00,0.00,24293.50,24.00,simulated_position
2026-06-18,006208,富邦台50,249.2000,93,23175.60,33.00,0.00,23208.60,23.00,simulated_position
2026-06-18,2330,台積電,2430.0000,9,21870.00,31.00,0.00,21901.00,66.00,simulated_position
2026-06-18,2882,國泰金,91.5000,195,17842.50,25.57,0.00,17868.07,53.55,simulated_position
2026-06-18,00878,國泰永續高股息,33.2500,656,21812.00,31.00,0.00,21843.00,22.00,simulated_position
2026-06-18,0056,元大高股息,53.6000,371,19885.60,28.00,0.00,19913.60,20.00,simulated_position
2026-06-18,00919,群益台灣精選高息,30.7200,646,19845.12,28.00,0.00,19873.12,20.00,simulated_position
2026-06-18,00881,國泰台灣5G+,56.3000,349,19648.70,28.00,0.00,19676.70,20.00,simulated_position
2026-06-18,2303,聯電,135.0000,134,18090.00,26.00,0.00,18116.00,54.00,simulated_position
2026-06-18,2454,聯發科,4455.0000,4,17820.00,25.00,0.00,17845.00,53.00,simulated_position
2026-06-18,2317,鴻海,312.0000,20,6240.00,8.80,0.00,6248.80,18.80,simulated_position
2026-06-18,1301,台塑,52.5000,157,8242.50,11.73,0.00,8254.23,24.58,simulated_position
2026-06-18,0050,元大台灣50,107.6000,119,12804.40,18.00,0.00,12822.40,13.00,simulated_position
