build_date,analysis_start_date,analysis_end_date,execution_date,execution_price_status,method,lookback_years,invest_ratio,cash_reserve,symbol,name,execution_price,max_drawdown,annual_volatility,drawdown_days,risk_score,price_factor_score,industry_ai_score,macro_external_score,composite_score,trend_strength_score,target_weight,target_value,shares,market_value,buy_commission,buy_tax,total_buy_cost,future_sell_tax_estimate,current_price,current_market_value,unrealized_pnl,unrealized_pnl_pct,remaining_cash
2026-03-23,2025-12-01,2026-03-20,2026-03-23,ready,multi-factor-shrink,1,0.7500,75000.00,0050,元大台灣50,107.6000,0.09303758,0.24270109,15,0.05655973,-0.32794165,0.00000000,0.46934098,0.05655973,-0.32329277,0.08399439,18898.74,266,28621.60,40.00,0.00,28661.60,28.00,104.4000,27770.40,-891.20,-0.031094,116152.41
2026-03-23,2025-12-01,2026-03-20,2026-03-23,ready,multi-factor-shrink,1,0.7500,75000.00,0056,元大高股息,53.6000,0.06726235,0.15408915,15,0.13208179,-0.61794331,0.00000000,0.94814779,0.13208179,-0.64179953,0.11634555,26177.75,699,37466.40,53.00,0.00,37519.40,37.00,51.7500,36173.25,-1346.15,-0.035879,116152.41
2026-03-23,2025-12-01,2026-03-20,2026-03-23,ready,multi-factor-shrink,1,0.7500,75000.00,006208,富邦台50,249.2000,0.09335106,0.24377338,15,0.06610037,-0.29331072,0.00000000,0.45856165,0.06610037,-0.25974487,0.08469372,19056.09,120,29904.00,42.00,0.00,29946.00,29.00,242.8000,29136.00,-810.00,-0.027049,116152.41
2026-03-23,2025-12-01,2026-03-20,2026-03-23,ready,multi-factor-shrink,1,0.7500,75000.00,00881,國泰台灣5G+,56.3000,0.09736361,0.29708841,16,0.17484899,-0.38265089,1.00000000,0.31977336,0.17484899,-0.27801832,0.07731667,17396.25,436,24546.80,34.00,0.00,24580.80,24.00,52.2500,22781.00,-1799.80,-0.073220,116152.41
2026-03-23,2025-12-01,2026-03-20,2026-03-23,ready,multi-factor-shrink,1,0.7500,75000.00,2330,台積電,2430.0000,0.10173697,0.30000192,16,0.25233262,-0.20286494,1.00000000,0.33369650,0.25233262,-0.26903257,0.09644992,21701.23,13,31590.00,45.00,0.00,31635.00,94.00,2420.0000,31460.00,-175.00,-0.005532,116152.41
2026-03-23,2025-12-01,2026-03-20,2026-03-23,ready,multi-factor-shrink,1,0.7500,75000.00,2454,聯發科,,0.14395887,0.45205694,15,0.05462773,-0.35159420,1.00000000,-0.01183646,0.05462773,-0.31165781,0.04807712,10817.35,,,,,,,,,,,116152.41
2026-03-23,2025-12-01,2026-03-20,2026-03-23,ready,multi-factor-shrink,1,0.7500,75000.00,2412,中華電,143.0000,0.02898551,0.11132277,13,0.19888291,-0.70457742,0.00000000,1.20178471,0.19888291,-0.76522356,0.25000000,56250.00,220,31460.00,44.79,0.00,31504.79,94.05,133.0000,29260.00,-2244.79,-0.071252,116152.41
2026-03-23,2025-12-01,2026-03-20,2026-03-23,ready,multi-factor-shrink,1,0.7500,75000.00,2382,廣達,,0.12605042,0.29772102,47,0.09252096,-0.77105182,1.00000000,0.50235423,0.09252096,-0.69619263,0.09224459,20755.03,,,,,,,,,,,116152.41
2026-03-23,2025-12-01,2026-03-20,2026-03-23,ready,multi-factor-shrink,1,0.7500,75000.00,2049,上銀,,0.15414258,0.46158771,29,-0.33501454,-0.52246731,0.00000000,-0.31506904,-0.33501454,-0.62261190,0.05764458,12970.03,,,,,,,,,,,116152.41
2026-03-23,2025-12-01,2026-03-20,2026-03-23,ready,multi-factor-shrink,1,0.7500,75000.00,3491,昇達科,,0.33333333,0.72962288,14,-0.04913001,1.95185829,0.00000000,-2.07468332,-0.04913001,1.96744436,0.04132351,9297.79,,,,,,,,,,,116152.41
2026-03-23,2025-12-01,2026-03-20,2026-03-23,ready,multi-factor-shrink,1,0.7500,75000.00,2313,華通,,0.18847007,0.81170524,13,0.15618943,2.22254397,0.00000000,-1.83207039,0.15618943,2.20012961,0.05190996,11679.74,,,,,,,,,,,116152.41
