build_date,analysis_start_date,analysis_end_date,execution_date,execution_price_status,method,lookback_years,invest_ratio,cash_reserve,symbol,name,execution_price,max_drawdown,annual_volatility,drawdown_days,risk_score,price_factor_score,industry_ai_score,macro_external_score,composite_score,trend_strength_score,target_weight,target_value,shares,market_value,buy_commission,buy_tax,total_buy_cost,future_sell_tax_estimate,current_price,current_market_value,unrealized_pnl,unrealized_pnl_pct,remaining_cash
2026-03-23,2025-12-01,2026-03-20,2026-03-23,ready,multi-factor-shrink,1,0.7500,75000.00,0050,元大台灣50,107.6000,0.09303758,0.24270109,15,0.06958634,-0.44070001,0.00000000,0.61466587,0.06958634,-0.47298008,0.07483331,16837.50,266,28621.60,40.00,0.00,28661.60,28.00,103.4500,27517.70,-1143.90,-0.039911,188080.62
2026-03-23,2025-12-01,2026-03-20,2026-03-23,ready,multi-factor-shrink,1,0.7500,75000.00,0056,元大高股息,53.6000,0.06726235,0.15408915,15,0.14404055,-0.74815693,0.00000000,1.10825829,0.14404055,-0.79936774,0.10605274,23861.87,294,15758.40,22.29,0.00,15780.69,15.56,51.4000,15111.60,-669.09,-0.042399,188080.62
2026-03-23,2025-12-01,2026-03-20,2026-03-23,ready,multi-factor-shrink,1,0.7500,75000.00,006208,富邦台50,249.2000,0.09335106,0.24377338,15,0.07982761,-0.40398464,0.00000000,0.60355367,0.07982761,-0.40785980,0.07493149,16859.59,50,12460.00,17.50,0.00,12477.50,12.08,236.9000,11845.00,-632.50,-0.050691,188080.62
2026-03-23,2025-12-01,2026-03-20,2026-03-23,ready,multi-factor-shrink,1,0.7500,75000.00,00881,國泰台灣5G+,56.3000,0.09736361,0.29708841,16,0.18471095,-0.49870221,1.00000000,0.46047959,0.18471095,-0.42658540,0.06787808,15272.57,102,5742.60,7.95,0.00,5750.55,5.62,52.8000,5385.60,-364.95,-0.063463,188080.62
2026-03-23,2025-12-01,2026-03-20,2026-03-23,ready,multi-factor-shrink,1,0.7500,75000.00,2330,台積電,2430.0000,0.10173697,0.30000192,16,0.26669510,-0.30809492,1.00000000,0.47483267,0.26669510,-0.41737731,0.08657199,19478.70,13,31590.00,45.00,0.00,31635.00,94.00,2370.0000,30810.00,-825.00,-0.026079,188080.62
2026-03-23,2025-12-01,2026-03-20,2026-03-23,ready,multi-factor-shrink,1,0.7500,75000.00,2454,聯發科,,0.14395887,0.45205694,15,0.06114136,-0.46577622,1.00000000,0.11862961,0.06114136,-0.46105724,0.04095901,9215.78,,,,,,,,,,,188080.62
2026-03-23,2025-12-01,2026-03-20,2026-03-23,ready,multi-factor-shrink,1,0.7500,75000.00,2412,中華電,143.0000,0.02898551,0.11132277,13,0.21188880,-0.84000557,0.00000000,1.36972756,0.21188880,-0.92584568,0.25000000,56250.00,123,17589.00,25.04,0.00,17614.04,52.58,136.5000,16789.50,-824.54,-0.046812,188080.62
2026-03-23,2025-12-01,2026-03-20,2026-03-23,ready,multi-factor-shrink,1,0.7500,75000.00,2382,廣達,,0.12605042,0.29772102,47,0.09528700,-0.91048107,1.00000000,0.64869857,0.09528700,-0.85510670,0.08870418,19958.44,,,,,,,,,,,188080.62
2026-03-23,2025-12-01,2026-03-20,2026-03-23,ready,multi-factor-shrink,1,0.7500,75000.00,2049,上銀,,0.15414258,0.46158771,29,-0.33636042,-0.64693421,0.00000000,-0.19396683,-0.33636042,-0.77970534,0.04744654,10675.47,,,,,,,,,,,188080.62
2026-03-23,2025-12-01,2026-03-20,2026-03-23,ready,multi-factor-shrink,1,0.7500,75000.00,3491,昇達科,,0.33333333,0.72962288,14,-0.01263868,1.97632151,0.00000000,-2.00791822,-0.01263868,1.87443733,0.03891459,8755.78,,,,,,,,,,,188080.62
2026-03-23,2025-12-01,2026-03-20,2026-03-23,ready,multi-factor-shrink,1,0.7500,75000.00,2313,華通,,0.18847007,0.81170524,13,0.20219458,2.26329981,0.00000000,-1.75781338,0.20219458,2.11287996,0.04414991,9933.73,,,,,,,,,,,188080.62
2026-03-23,2025-12-01,2026-03-20,2026-03-23,ready,multi-factor-shrink,1,0.7500,75000.00,2308,台達電,,0.14982578,0.53065726,19,-0.20347560,0.41859757,0.00000000,-0.92728656,-0.20347560,0.86149255,0.03611810,8126.57,,,,,,,,,,,188080.62
2026-03-23,2025-12-01,2026-03-20,2026-03-23,ready,multi-factor-shrink,1,0.7500,75000.00,6285,啟碁,,0.26746988,0.66275148,24,0.03710241,0.60461688,0.00000000,-0.51186085,0.03710241,0.69707546,0.04344005,9774.01,,,,,,,,,,,188080.62
